# Title : Scores for 2OOB with clustering distance of 2.5
# Experiment_size : 54000
Pose	Surface size	Residue freq sum	Residue mean freq	Residue log sum	Residue square sum	Number of contacts	Contact freq sum	Contact mean freq	Contact log sum	Contact square sum	RMSD
0	31	9.621444201312912	0.31036916778428747	-37.8024988008492	3.266005582981004	49	2.0832096395003092	0.04251448243878182	-169.0723429408768	0.12719736072548132	27.179
1	32	8.908096280087527	0.2783780087527352	-43.798159167669	2.8756709392910658	46	1.269201672021413	0.027591340696117673	-176.6390736625617	0.05641939672715735	29.441
2	31	8.296498905908095	0.26762899696477727	-43.489017172484	2.5611171228974037	46	1.244037558235855	0.027044294744257714	-177.75720927403324	0.05479016899776007	27.296
3	28	8.703501094091905	0.3108393247889966	-34.22852483563542	2.981480639122044	47	2.21668645767995	0.047163541652764894	-150.15944010683071	0.13098510564648938	39.424
4	25	8.042669584245077	0.3217067833698031	-29.46864423806457	2.806064429324535	38	1.9289295136677695	0.05076130299125709	-118.71972402079172	0.12162957185998012	38.918
5	23	7.12472647702407	0.3097707163923509	-27.98427307697652	2.394687070562943	34	1.1028853382108608	0.03243780406502532	-125.1962210820705	0.05355568584237556	22.672
6	30	7.535010940919038	0.2511670313639679	-43.01267191856052	2.072318996021048	43	0.7987385623105688	0.018575315402571367	-180.08834621700612	0.019041984191511603	8.349
7	25	7.398249452954048	0.2959299781181619	-33.0692648725285	2.537809613644307	36	1.1171109270334068	0.0310308590842613	-136.94398437958745	0.056322072620362956	29.428
8	24	7.5875273522975935	0.31614697301239975	-28.890291687830803	2.635625499762986	38	1.9683168222016865	0.0517978111105707	-117.2846395797361	0.12314032696847603	39.592
9	26	8.080962800875273	0.3108062615721259	-31.376817409801987	2.6995987531661623	38	1.219957960057266	0.032104156843612265	-139.52115064016132	0.05920717823694717	18.452
10	24	6.980306345733043	0.29084609773887676	-32.86131759014234	2.4203156347408887	26	1.2111908603823818	0.046584263860860835	-88.08721481367951	0.08060299827937625	37.591
11	28	7.5733041575492335	0.2704751484839012	-39.981709863227486	2.455678504565499	44	1.059133632433002	0.024071218918931866	-170.7192173682214	0.03133139039999621	33.733
12	25	6.951859956236326	0.27807439824945307	-35.26149443573076	2.3443109615080746	42	1.2812318948139567	0.030505521305094208	-159.30264889370815	0.06223343469865079	31.668
13	34	9.679431072210065	0.284689149182649	-46.17241491194685	3.1547613347442405	53	2.2626454998587495	0.04269142452563678	-179.41270679858238	0.13027178155935243	37.733
14	28	7.076586433260394	0.2527352297592998	-40.00607641600635	2.0016040297056725	36	0.8643756972741072	0.024010436035391866	-138.1464753060907	0.026487712065058032	13.491
15	28	7.154266958424508	0.2555095342294467	-40.385045643080566	2.0887375567994098	38	0.8348376099478572	0.021969410788101506	-148.9755127180104	0.02153789296301693	18.536
16	28	8.193654266958424	0.2926305095342294	-35.99086924101333	2.654500380657795	42	1.3545360523631909	0.03225085838959978	-152.77164224968692	0.061645864981193566	26.798
17	27	7.761487964989058	0.287462517221817	-35.57948978906933	2.50726362108509	40	1.207925343190535	0.030198133579763375	-151.39318505568255	0.056409673738927295	23.624
18	20	4.933260393873086	0.24666301969365428	-28.609224452918237	1.2959470718078612	30	0.5656814253360083	0.018856047511200277	-121.61372687794788	0.012430190385086306	11.492
19	29	6.522975929978118	0.22493020448200407	-45.125224341719665	1.6344655708191083	45	0.8818919410674699	0.01959759869038822	-182.5837043495944	0.02100293002362409	7.251
20	26	7.075492341356677	0.27213432082141065	-36.47729956180837	2.2191643244640864	35	0.682755244219508	0.01950729269198594	-142.23925215374425	0.01625739825016177	37.276
21	26	7.910284463894967	0.3042417101498064	-32.59237488583503	2.6836422487060023	33	1.3589016466442267	0.04117883777709778	-112.6356080183748	0.07758801546068102	23.677
22	20	5.960612691466084	0.2980306345733042	-26.151090588362116	2.043548209471915	26	0.9431383439710029	0.03627455169119242	-93.44421444162239	0.05291608559960184	35.714
23	26	6.085339168490153	0.2340515064803905	-41.10520728448309	1.6900775201221936	36	0.8643756972741072	0.024010436035391866	-139.40506116229133	0.026499682435995882	36.557
24	28	6.61706783369803	0.23632385120350108	-43.43488918173445	1.877887851988757	34	0.5799094082327424	0.017056159065668895	-149.81894659860495	0.017815694327142105	17.394
25	21	3.8347921225382926	0.18260914869229966	-39.21669742583128	0.9126845232680072	28	0.18493504876729122	0.0066048231702604005	-147.24279227066148	0.0017493139021260528	11.86
26	24	6.62582056892779	0.27607585703865795	-32.56666113131596	2.082009011295242	34	1.1127321653443396	0.032727416627774696	-121.317503223733	0.04676012983499016	24.067
27	31	7.982494529540482	0.25749982353356393	-44.5512471249712	2.3673491374150695	47	1.025220374528966	0.021813199458063107	-185.86018258074643	0.027389466055006632	16.611
28	22	7.131291028446389	0.3241495922021086	-25.458458497324376	2.454359369688148	29	1.0602097687803154	0.036558957544148805	-98.37120270800264	0.04616866777531073	30.149
29	26	6.847921225382933	0.26338158559165126	-39.169734182914155	2.2467464531790906	34	0.8687496708147994	0.02555146090631763	-138.73293796434905	0.041287889167104436	33.005
30	31	9.621444201312912	0.31036916778428747	-37.8024988008492	3.266005582981004	47	1.9573866764983314	0.04164652503187939	-161.92251649739725	0.11695880123569213	27.49
31	33	8.370897155361051	0.2536635501624561	-47.92646660556913	2.4260865505700284	41	0.8424998443851777	0.020548776692321406	-163.58850448991404	0.019961413450160465	12.824
32	27	5.1542669584245075	0.1908987762379447	-50.61547378623552	1.3501345469693413	33	0.23417516962015625	0.007096217261216856	-172.6919645125623	0.0024903977405170913	14.361
33	23	7.409190371991249	0.32213871182570647	-27.176173504011818	2.6063447754118996	32	1.6630579988412684	0.05197056246378964	-98.54648182159555	0.10625778203114752	39.897
