# Title : Scores for 2OOB
# Experiment_size : 19993
Pose	Surface size	Residue freq sum	Residue mean freq	Residue log sum	Residue square sum	Number of contacts	Contact freq sum	Contact mean freq	Contact log sum	Contact square sum
0	27	7.698275862068965	0.2851213282247765	-35.4489147852856	2.4401753864447087	37	0.8729934601664685	0.023594417842336988	-147.23782122222977	0.030665891411970635
1	31	11.068965517241377	0.3570634037819799	-33.04558883072275	4.22681331747919	49	2.3655618311533892	0.048276772064354885	-165.17412170739513	0.17053308175074688
2	32	9.25	0.2890625	-43.76678663309285	3.2254013079667065	46	1.0976516052318666	0.023861991418084056	-187.62180328383764	0.05373473158122444
3	28	10.008620689655173	0.35745073891625617	-29.905322562759217	3.847280023781212	47	2.7016944114149815	0.05748285981734003	-142.85433009202913	0.19919610054207593
4	23	8.275862068965516	0.35982008995502246	-24.299292163587392	3.1698870392390006	34	1.2438317479191436	0.03658328670350423	-123.03696089059838	0.0728647420986143
5	30	8.146551724137929	0.27155172413793094	-41.149040904951214	2.492642687277051	43	0.8563466111771703	0.019915037469236518	-176.44092085340708	0.02353157174270198
6	24	7.974137931034482	0.33225574712643674	-29.06591813589972	3.0764714625445904	26	1.277645659928656	0.0491402176895637	-86.0841340661336	0.09010991564880155
7	28	7.3965517241379315	0.2641625615763547	-39.10540149098395	2.2392984542211654	36	1.209571938168847	0.03359922050469019	-126.27721734887538	0.0522009860649445
8	28	7.387931034482758	0.2638546798029556	-40.560121322556576	2.3266200951248512	38	1.1062722948870396	0.02911242881281683	-138.54586619976988	0.038808689103058056
9	29	6.767241379310345	0.23335315101070156	-44.747225264139985	1.8178507728894178	45	1.0550683709869206	0.023445963799709348	-175.2524362898061	0.030626247956964774
10	26	7.663793103448275	0.29476127320954904	-34.59084593206203	2.6834869203329363	35	0.8301872770511297	0.023719636487175136	-136.6012238684092	0.027174329182814178
11	26	8.83620689655172	0.33985411140583544	-29.432495025548434	3.3013525564803805	33	1.8214179548156952	0.05519448347926349	-99.9378637249016	0.12623665156599714
12	26	7.094827586206897	0.2728779840848806	-37.7728858593801	2.322161117717003	36	1.071640903686088	0.029767802880169114	-132.0905833663879	0.04088440891951007
13	24	6.9655172413793105	0.29022988505747127	-31.856307578028908	2.371432818073721	34	1.416319857312723	0.04165646639155068	-112.22558385834915	0.07408071588590676
14	30	9.741379310344826	0.32471264367816083	-35.96221365683945	3.585463733650416	42	1.270362663495838	0.03024673008323424	-152.80335195835588	0.048419857613169325
15	26	7.698275862068965	0.29608753315649866	-35.62108358300717	2.78544887039239	34	1.166319857312723	0.03430352521508009	-123.82950939366383	0.06341632825213743
16	20	6.93103448275862	0.346551724137931	-22.772076464059836	2.7018430439952437	26	0.881242568370987	0.033893944937345655	-92.72142644602097	0.041599327654072434
